filename,width,height,class,xmin,ymin,xmax,ymax
ptf-160-_jpg.rf.b72dbe155f86ba991f120a1b9060c6e2.jpg,640,640,Class 0- No endodontic treatment,127,106,482,624
ptf-160-_jpg.rf.b72dbe155f86ba991f120a1b9060c6e2.jpg,640,640,cavity,373,34,640,640
ptf-205-_jpg.rf.ba5b5d8984e39a6ad6d65fda5c0a3ce4.jpg,640,640,Class 0- No endodontic treatment,153,8,447,510
ptf-205-_jpg.rf.ba5b5d8984e39a6ad6d65fda5c0a3ce4.jpg,640,640,cavity,443,34,640,588
ptf-239-_jpg.rf.b858d6783a89664c66b25ca2d8e3eb6e.jpg,640,640,cavity,172,5,614,586
ptf-246-_jpg.rf.bba6fb485dbd449e530dd43e5060c7e4.jpg,640,640,Class 2- incomplete endodontic treatment,16,68,628,640
ptf-308-_jpg.rf.b588b0f360552e86f742ddc4e7dd8577.jpg,640,640,Class 1- complete endodontic treatment,200,64,491,573
ptf-308-_jpg.rf.b588b0f360552e86f742ddc4e7dd8577.jpg,640,640,cavity,21,47,295,502
ptf-423-_jpg.rf.bbde16d2a917f57cbcdcb7670a961905.jpg,640,640,Class 1- complete endodontic treatment,65,170,274,347
ptf-423-_jpg.rf.bbde16d2a917f57cbcdcb7670a961905.jpg,640,640,Class 0- No endodontic treatment,32,291,242,408
ptf-73-_jpg.rf.b6070e3eb8b561ceee2b7c64e5aa4ad9.jpg,640,640,Class 2- incomplete endodontic treatment,1,5,309,479
ptf-73-_jpg.rf.b6070e3eb8b561ceee2b7c64e5aa4ad9.jpg,640,640,Class 2- incomplete endodontic treatment,283,7,640,487
ptf-218-_jpg.rf.b42874bf3232a391e23e7f79a0ea3340.jpg,640,640,Class 1- complete endodontic treatment,85,23,571,614
ptf-76-_jpg.rf.c49f14d8a1bd3338090eef35c0fc7484.jpg,640,640,Class 2- incomplete endodontic treatment,45,52,550,556
ptf-67-_jpg.rf.bbd40a5cbacfa68dd09ed33306453a77.jpg,640,640,Class 2- incomplete endodontic treatment,24,53,508,504
ptf-92-_jpg.rf.c8200ba0c61e23f4a2ad785dcd1793e3.jpg,640,640,Class 1- complete endodontic treatment,125,83,378,640
ptf-92-_jpg.rf.c8200ba0c61e23f4a2ad785dcd1793e3.jpg,640,640,Class 0- No endodontic treatment,324,182,599,640
ptf-213-_jpg.rf.bff36da2b99668a37492dc8a8d339300.jpg,640,640,Class 0- No endodontic treatment,151,34,596,601
ptf-37-_jpg.rf.b8644ab634f1299db64f39023826b48a.jpg,640,640,Class 0- No endodontic treatment,257,51,467,440
ptf-37-_jpg.rf.b8644ab634f1299db64f39023826b48a.jpg,640,640,cavity,151,157,271,500
ptf-37-_jpg.rf.b8644ab634f1299db64f39023826b48a.jpg,640,640,cavity,34,129,165,512
ptf-339-_jpg.rf.b35c617c719aecec620b80cd9bd336bf.jpg,640,640,Class 1- complete endodontic treatment,21,186,592,547
ptf-163-_jpg.rf.c568a96071d24c29d4549bac1e1e9ff6.jpg,640,640,Class 0- No endodontic treatment,335,159,517,632
ptf-163-_jpg.rf.c568a96071d24c29d4549bac1e1e9ff6.jpg,640,640,cavity,81,88,349,640
ptf-15-_jpg.rf.be391aca1e4a918fb9f1c43e006efa34.jpg,640,640,Class 0- No endodontic treatment,127,167,429,619
ptf-143-_jpg.rf.c48a40baa803c15187649adac63d7dfb.jpg,640,640,Class 0- No endodontic treatment,168,18,556,639
ptf-262-_jpg.rf.b88542661b6fab961afa063d199eff04.jpg,640,640,Class 1- complete endodontic treatment,105,86,558,614
ptf-113-_jpg.rf.c6de6fc1529f90266edace5df15e438c.jpg,640,640,Class 0- No endodontic treatment,137,66,410,600
ptf-113-_jpg.rf.c6de6fc1529f90266edace5df15e438c.jpg,640,640,cavity,396,44,627,624
ptf-245-_jpg.rf.c08bcf6d4c925284941cbae7614e6b30.jpg,640,640,Class 2- incomplete endodontic treatment,68,12,640,624
ptf-80-_jpg.rf.c1bcf8ff0b73c9ffafc3dd237ec17180.jpg,640,640,Class 2- incomplete endodontic treatment,146,42,572,552
ptf-400-_jpg.rf.c0f7263546d3345d16ff27025a0e2586.jpg,640,640,Class 1- complete endodontic treatment,124,120,533,519
ptf-103-_jpg.rf.b577baffe976d70c9681d27b9a24d91b.jpg,640,640,Class 0- No endodontic treatment,128,55,600,620
ptf-291-_jpg.rf.c60d5b9c69dc02e7cd3f93c051aa00a4.jpg,640,640,Class 2- incomplete endodontic treatment,88,277,335,533
ptf-322-_jpg.rf.c2dd1d1a0c9ccb8d30905a78a486f456.jpg,640,640,Class 2- incomplete endodontic treatment,184,60,588,599
ptf-322-_jpg.rf.c2dd1d1a0c9ccb8d30905a78a486f456.jpg,640,640,cavity,4,16,336,561
ptf-119-_jpg.rf.ca15dcc12627ac9725e52eecc499f9cc.jpg,640,640,cavity,203,86,491,587
ptf-192-_jpg.rf.ccb994f0e990c96badd0ae241d7e2ff5.jpg,640,640,Class 0- No endodontic treatment,44,171,362,640
ptf-192-_jpg.rf.ccb994f0e990c96badd0ae241d7e2ff5.jpg,640,640,Class 1- complete endodontic treatment,254,142,560,578
ptf-185-_jpg.rf.d4c50770daed0cbf6b1a651366c65cb9.jpg,640,640,Class 2- incomplete endodontic treatment,217,56,459,608
ptf-185-_jpg.rf.d4c50770daed0cbf6b1a651366c65cb9.jpg,640,640,Class 1- complete endodontic treatment,351,16,640,608
ptf-110-_jpg.rf.cbee8a215ce05c289e320df2563762a6.jpg,640,640,Class 0- No endodontic treatment,42,37,516,618
ptf-130-_jpg.rf.ce9f4f2303c24d3017a530df5794fc41.jpg,640,640,Class 0- No endodontic treatment,7,27,640,582
ptf-11-_jpg.rf.cdd38e47a760331f777b1b0c3fe412f4.jpg,640,640,cavity,47,94,245,624
ptf-11-_jpg.rf.cdd38e47a760331f777b1b0c3fe412f4.jpg,640,640,cavity,415,176,595,621
ptf-83-_jpg.rf.d27e2a6123af1b4ef9c83089b740a47a.jpg,640,640,Class 0- No endodontic treatment,154,59,636,637
ptf-53-_jpg.rf.cc4d58a56504afb9d894e1acbae65308.jpg,640,640,Class 0- No endodontic treatment,98,8,335,364
ptf-366-_jpg.rf.d01ea9cdbbbc4f7f3639e06aef7ba6e9.jpg,640,640,Class 2- incomplete endodontic treatment,259,132,447,375
ptf-396-_jpg.rf.d137dd0ee3e46d35d48c65a30cff15ca.jpg,640,640,Class 1- complete endodontic treatment,226,33,640,594
ptf-241-_jpg.rf.d25f9fc9a74c9f6b9f3c0336140fd151.jpg,640,640,Class 2- incomplete endodontic treatment,71,242,539,555
ptf-302-_jpg.rf.d05d0e59a1c2040d5802b62f9450d534.jpg,640,640,Class 1- complete endodontic treatment,126,41,526,548
ptf-211-_jpg.rf.d11f68140b86c1d5486507e864e4f0d7.jpg,640,640,Class 2- incomplete endodontic treatment,324,243,428,539
ptf-211-_jpg.rf.d11f68140b86c1d5486507e864e4f0d7.jpg,640,640,Class 2- incomplete endodontic treatment,10,357,124,482
ptf-211-_jpg.rf.d11f68140b86c1d5486507e864e4f0d7.jpg,640,640,Class 0- No endodontic treatment,410,259,512,542
ptf-134-_jpg.rf.cdcd209158a023d6ace15617c0563775.jpg,640,640,Class 0- No endodontic treatment,125,72,439,597
ptf-4-_jpg.rf.cf9722d99d5c8396b6898520ff2596b9.jpg,640,640,cavity,414,189,630,454
ptf-318-_jpg.rf.d013659e5047a47cfce43cbf295bb92a.jpg,640,640,Class 0- No endodontic treatment,3,176,382,574
ptf-318-_jpg.rf.d013659e5047a47cfce43cbf295bb92a.jpg,640,640,Class 1- complete endodontic treatment,241,124,618,556
ptf-197-_jpg.rf.d5c0e1ea25df7007d215d22eff62fbbc.jpg,640,640,Class 2- incomplete endodontic treatment,56,40,431,607
